"experiment_ID","counts_file","sampling","temp","media","who_counted","number_of_colors","time","strain","growth","first","second","mitos"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,3,8,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,6,9,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,2,7,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,1,7,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,3,9,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,2,7,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,2,4,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,8,14,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,3,9,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,1,1,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,2,7,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,3,8,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,1,2,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,1,3,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,1,7,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,3,5,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,7,12,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,2,6,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,3,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,5,11,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,4,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,1,1,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,1,2,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,4,10,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,5,5,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,3,7,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,2,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,4,10,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,3,3,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,4,9,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,1,2,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,5,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,1,7,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,10,10,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,3,9,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,4,4,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,5,11,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,2,3,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,6,11,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,1,1,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,2,2,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,3,3,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,6,10,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,6,9,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,1,2,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,4,7,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,5,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,1,7,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,4,10,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,2,7,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,3,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",NA,NA,NA,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,2,7,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,2,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,2,3,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,2,4,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",NA,NA,NA,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,2,7,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,3,6,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,2,2,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,2,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,1,2,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,1,3,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,3,8,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,3,3,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,3,9,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,2,7,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,3,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,4,5,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,1,3,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,1,2,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,1,7,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,2,6,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",1,3,4,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,4,7,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,3,8,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,2,7,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,1,3,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,1,3,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,4,9,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,5,11,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,1,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,1,3,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,1,7,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,2,4,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,2,6,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,1,7,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,3,7,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,1,7,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,2,7,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,2,4,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,1,3,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",5,3,8,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",2,1,3,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,2,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,5,9,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",0,1,1,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"tc"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,2,8,"c"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",6,1,7,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",4,1,5,"t"
"exp011616","exp011616_colin.csv","random","30C","SC-ura","CSM",2,6,"CMY178-30C",3,1,4,"t"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",3,6,9,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",2,1,3,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,2,2,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",1,1,2,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",1,1,2,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",6,16,22,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,2,2,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",5,2,7,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",NA,10,NA,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",2,9,11,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",1,2,3,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,2,2,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",4,3,7,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,2,2,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",4,6,10,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",4,8,12,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",7,7,14,"tc"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",2,1,3,"c"
"exp011616","exp011616_colin.csv","random","37C","SC-ura","CSM",2,6,"CMY178-37C",0,1,1,"n"
